sample_id,complex_id,source,receptor_scope,delta_angstrom,num_clash_pairs,num_severe_clash_pairs,total_clash_score,max_clash_depth,dominant_region,dominant_ratio,failure_type,recommended_action
complex_crossdocked_000026,complex_crossdocked_000026,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000026,complex_crossdocked_000026,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000027,complex_crossdocked_000027,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000027,complex_crossdocked_000027,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000028,complex_crossdocked_000028,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000028,complex_crossdocked_000028,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000029,complex_crossdocked_000029,crossdocked_subset,phase0_pocket8,0.4,1,0,0.008340960546377119,0.09132885932922363,,0.0,no_clash,no_repair_needed
complex_crossdocked_000029,complex_crossdocked_000029,crossdocked_subset,pocket10_all_atoms,0.4,1,0,0.008340960546377119,0.09132885932922363,,0.0,no_clash,no_repair_needed
complex_crossdocked_000030,complex_crossdocked_000030,crossdocked_subset,phase0_pocket8,0.4,1,0,0.029469838451007035,0.17166781425476074,,0.0,no_clash,no_repair_needed
complex_crossdocked_000030,complex_crossdocked_000030,crossdocked_subset,pocket10_all_atoms,0.4,1,0,0.029469838451007035,0.17166781425476074,,0.0,no_clash,no_repair_needed
complex_crossdocked_000031,complex_crossdocked_000031,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000031,complex_crossdocked_000031,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000032,complex_crossdocked_000032,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000032,complex_crossdocked_000032,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000033,complex_crossdocked_000033,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000033,complex_crossdocked_000033,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000034,complex_crossdocked_000034,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000034,complex_crossdocked_000034,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000035,complex_crossdocked_000035,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000035,complex_crossdocked_000035,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000036,complex_crossdocked_000036,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000036,complex_crossdocked_000036,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000037,complex_crossdocked_000037,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000037,complex_crossdocked_000037,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000038,complex_crossdocked_000038,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000038,complex_crossdocked_000038,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000039,complex_crossdocked_000039,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000039,complex_crossdocked_000039,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000040,complex_crossdocked_000040,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000040,complex_crossdocked_000040,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000041,complex_crossdocked_000041,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000041,complex_crossdocked_000041,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000042,complex_crossdocked_000042,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000042,complex_crossdocked_000042,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000043,complex_crossdocked_000043,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000043,complex_crossdocked_000043,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000044,complex_crossdocked_000044,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000044,complex_crossdocked_000044,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000045,complex_crossdocked_000045,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000045,complex_crossdocked_000045,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000046,complex_crossdocked_000046,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000046,complex_crossdocked_000046,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000047,complex_crossdocked_000047,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000047,complex_crossdocked_000047,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000048,complex_crossdocked_000048,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000048,complex_crossdocked_000048,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000049,complex_crossdocked_000049,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000049,complex_crossdocked_000049,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000050,complex_crossdocked_000050,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000050,complex_crossdocked_000050,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_diffsbdd_5ndu,complex_diffsbdd_5ndu,diffsbdd_example,phase0_pocket8,0.4,1,0,0.019977202684685835,0.1413407325744629,,0.0,no_clash,no_repair_needed
complex_diffsbdd_5ndu,complex_diffsbdd_5ndu,diffsbdd_example,pocket10_all_atoms,0.4,1,0,0.019977202684685835,0.1413407325744629,,0.0,no_clash,no_repair_needed
