case_id,set_name,oracle_split,target_rgroup,predicted_dominant_valid_rgroup,predicted_equals_oracle,target_in_top3_valid_rgroups,target_score_ratio_valid,dominant_ratio_valid_rgroups,not_independent_locator_benchmark,not_construction_consistency_denominator
case_000038,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000039,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000040,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000041,S0_all_valid_injection_attempts,supported_single_rgroup,R4,R4,True,True,1.0,1.0,True,True
case_000042,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000048,S0_all_valid_injection_attempts,supported_single_rgroup,R4,R4,True,True,1.0,1.0,True,True
case_000049,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000051,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000053,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000055,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000056,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000058,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000059,S0_all_valid_injection_attempts,supported_single_rgroup,R8,R8,True,True,1.0,1.0,True,True
case_000060,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000066,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000067,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000069,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000071,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000072,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000073,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000074,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000075,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000076,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000077,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000078,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000084,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000085,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000087,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000089,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000091,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000092,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000094,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000095,S0_all_valid_injection_attempts,supported_single_rgroup,R8,R8,True,True,1.0,1.0,True,True
case_000096,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000102,S0_all_valid_injection_attempts,supported_single_rgroup,R8,R8,True,True,1.0,1.0,True,True
case_000103,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000104,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000107,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000108,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000109,S0_all_valid_injection_attempts,supported_single_rgroup,R4,R4,True,True,1.0,1.0,True,True
case_000110,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000111,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000112,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000113,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000114,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000120,S0_all_valid_injection_attempts,supported_single_rgroup,R4,R4,True,True,1.0,1.0,True,True
case_000121,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000123,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000125,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000127,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000128,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000129,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000130,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000132,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000137,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000139,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000141,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000142,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000144,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000145,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000146,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000147,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000148,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000149,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000150,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000155,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000157,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000159,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000161,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000163,S0_all_valid_injection_attempts,supported_single_rgroup,R8,R8,True,True,1.0,1.0,True,True
case_000164,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000165,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000166,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000167,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000168,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000174,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000175,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000177,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000180,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000181,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000182,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000183,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000184,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000185,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000186,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000192,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000193,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000195,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000197,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000199,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000200,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000201,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000202,S0_all_valid_injection_attempts,supported_single_rgroup,R8,R8,True,True,1.0,1.0,True,True
case_000203,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000204,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000210,S0_all_valid_injection_attempts,supported_single_rgroup,R8,R8,True,True,1.0,1.0,True,True
case_000213,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000215,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000217,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000218,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000219,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000220,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000221,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000222,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000227,S0_all_valid_injection_attempts,supported_single_rgroup,R4,R4,True,True,1.0,1.0,True,True
case_000228,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000231,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000233,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000234,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000235,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000237,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000238,S0_all_valid_injection_attempts,supported_single_rgroup,R8,R8,True,True,1.0,1.0,True,True
case_000239,S0_all_valid_injection_attempts,supported_single_rgroup,R8,R8,True,True,1.0,1.0,True,True
case_000240,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000245,S0_all_valid_injection_attempts,supported_single_rgroup,R8,R8,True,True,1.0,1.0,True,True
case_000248,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000249,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000253,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000254,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000255,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000256,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000257,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000258,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000264,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000265,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000267,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000269,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000271,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000272,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000274,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000275,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000276,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000282,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000284,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000286,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000287,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000288,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000289,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000290,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000291,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000292,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000293,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000294,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000300,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000301,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000303,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000305,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000307,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000308,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000310,S0_all_valid_injection_attempts,supported_single_rgroup,R8,R8,True,True,1.0,1.0,True,True
case_000311,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000312,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000318,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000320,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000321,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000323,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000324,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000325,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000326,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000327,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000328,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000329,S0_all_valid_injection_attempts,supported_single_rgroup,R4,R4,True,True,1.0,1.0,True,True
case_000330,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000336,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000337,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000339,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000341,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000343,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000344,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000346,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000347,S0_all_valid_injection_attempts,supported_single_rgroup,R8,R8,True,True,1.0,1.0,True,True
case_000348,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000354,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000355,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000356,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000359,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000360,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000361,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000362,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000363,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000364,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000365,S0_all_valid_injection_attempts,supported_single_rgroup,R4,R4,True,True,1.0,1.0,True,True
case_000366,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000372,S0_all_valid_injection_attempts,supported_single_rgroup,R4,R4,True,True,1.0,1.0,True,True
case_000373,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000375,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000376,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000378,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000379,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000380,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000382,S0_all_valid_injection_attempts,supported_single_rgroup,R8,R8,True,True,1.0,1.0,True,True
case_000383,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000384,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000390,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000393,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000395,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000397,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000398,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000399,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000400,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000401,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000402,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000408,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000409,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000411,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000413,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000415,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000416,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000418,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000419,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000420,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000425,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000427,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000431,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000433,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000434,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000435,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000436,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000437,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000438,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000443,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000445,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000446,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000448,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000450,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000451,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000452,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000454,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000455,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000456,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000461,S0_all_valid_injection_attempts,near_miss_contact,R8,R8,True,True,1.0,1.0,True,True
case_000464,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000465,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000467,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000469,S0_all_valid_injection_attempts,supported_single_rgroup,R4,R4,True,True,1.0,1.0,True,True
case_000470,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000471,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000472,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000473,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000474,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000480,S0_all_valid_injection_attempts,supported_single_rgroup,R4,R4,True,True,1.0,1.0,True,True
case_000481,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000483,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000485,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000487,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000488,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000489,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000490,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000491,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000492,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000497,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000499,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000501,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000502,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000505,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000506,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000507,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000508,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000509,S0_all_valid_injection_attempts,supported_single_rgroup,R4,R4,True,True,1.0,1.0,True,True
case_000510,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000516,S0_all_valid_injection_attempts,near_miss_contact,R4,R4,True,True,1.0,1.0,True,True
case_000517,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000519,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
