complex_id,sample_id,source,phase0_usable,failure_reason,ligand_heavy_atoms,num_pocket_atoms_6A,num_pocket_atoms_8A,min_ligand_protein_distance,num_obvious_clash_pairs,num_pairs_below_1_0,num_pairs_below_1_2,num_pairs_below_1_5,num_rgroups,num_valid_rgroups,num_single_anchor_rgroups,scaffold_num_atoms,split_group,split_group_source
complex_crossdocked_000014,complex_crossdocked_000014,crossdocked_subset,True,,23.0,72.0,179.0,2.8472840785980225,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
complex_crossdocked_000015,complex_crossdocked_000015,crossdocked_subset,True,,23.0,69.0,186.0,2.7339823246002197,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
complex_crossdocked_000016,complex_crossdocked_000016,crossdocked_subset,True,,23.0,71.0,186.0,2.73455810546875,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
complex_crossdocked_000017,complex_crossdocked_000017,crossdocked_subset,True,,34.0,174.0,491.0,2.9723870754241943,0.0,0.0,0.0,0.0,3.0,3.0,3.0,23.0,RARA_HUMAN_173_420_0,target_id
complex_crossdocked_000018,complex_crossdocked_000018,crossdocked_subset,True,,34.0,173.0,540.0,2.7020797729492188,0.0,0.0,0.0,0.0,3.0,3.0,3.0,23.0,RARA_HUMAN_173_420_0,target_id
complex_crossdocked_000019,complex_crossdocked_000019,crossdocked_subset,True,,34.0,178.0,515.0,2.42399001121521,0.0,0.0,0.0,0.0,3.0,3.0,3.0,23.0,RARA_HUMAN_173_420_0,target_id
complex_crossdocked_000020,complex_crossdocked_000020,crossdocked_subset,True,,34.0,173.0,483.0,2.9952869415283203,0.0,0.0,0.0,0.0,3.0,3.0,3.0,23.0,RARA_HUMAN_173_420_0,target_id
complex_crossdocked_000021,complex_crossdocked_000021,crossdocked_subset,True,,36.0,104.0,349.0,2.7668659687042236,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,IPPK_MOUSE_1_468_0,target_id
complex_crossdocked_000022,complex_crossdocked_000022,crossdocked_subset,True,,32.0,93.0,334.0,2.694200277328491,0.0,0.0,0.0,0.0,6.0,5.0,6.0,6.0,IPPK_MOUSE_1_468_0,target_id
complex_crossdocked_000023,complex_crossdocked_000023,crossdocked_subset,True,,36.0,110.0,400.0,2.7484889030456543,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,IPPK_MOUSE_1_468_0,target_id
complex_crossdocked_000024,complex_crossdocked_000024,crossdocked_subset,True,,32.0,101.0,337.0,2.748154878616333,0.0,0.0,0.0,0.0,6.0,5.0,6.0,6.0,IPPK_MOUSE_1_468_0,target_id
complex_crossdocked_000025,complex_crossdocked_000025,crossdocked_subset,True,,36.0,105.0,368.0,2.6997647285461426,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,IPPK_MOUSE_1_468_0,target_id
complex_crossdocked_000026,complex_crossdocked_000026,crossdocked_subset,True,,23.0,92.0,291.0,2.7931506633758545,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,RIP1_MOMCH_24_270_0,target_id
complex_crossdocked_000027,complex_crossdocked_000027,crossdocked_subset,True,,23.0,110.0,369.0,2.751544952392578,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,RIP1_MOMCH_24_270_0,target_id
complex_crossdocked_000028,complex_crossdocked_000028,crossdocked_subset,True,,23.0,100.0,299.0,2.7023215293884277,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,RIP1_MOMCH_24_270_0,target_id
complex_crossdocked_000029,complex_crossdocked_000029,crossdocked_subset,True,,34.0,175.0,481.0,2.6961328983306885,0.0,0.0,0.0,0.0,5.0,2.0,5.0,12.0,ODP1_ECOLI_2_887_0,target_id
complex_crossdocked_000030,complex_crossdocked_000030,crossdocked_subset,True,,34.0,173.0,482.0,2.648332118988037,0.0,0.0,0.0,0.0,5.0,2.0,5.0,12.0,ODP1_ECOLI_2_887_0,target_id
complex_crossdocked_000031,complex_crossdocked_000031,crossdocked_subset,True,,34.0,149.0,381.0,2.698591470718384,0.0,0.0,0.0,0.0,4.0,3.0,4.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000032,complex_crossdocked_000032,crossdocked_subset,True,,34.0,154.0,420.0,2.7031545639038086,0.0,0.0,0.0,0.0,4.0,3.0,4.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000033,complex_crossdocked_000033,crossdocked_subset,True,,34.0,149.0,397.0,2.703939914703369,0.0,0.0,0.0,0.0,4.0,3.0,4.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000034,complex_crossdocked_000034,crossdocked_subset,True,,35.0,158.0,442.0,2.7192654609680176,0.0,0.0,0.0,0.0,5.0,3.0,5.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000035,complex_crossdocked_000035,crossdocked_subset,True,,34.0,154.0,420.0,2.6908082962036133,0.0,0.0,0.0,0.0,4.0,3.0,4.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000036,complex_crossdocked_000036,crossdocked_subset,True,,34.0,153.0,420.0,2.74564790725708,0.0,0.0,0.0,0.0,4.0,3.0,4.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000037,complex_crossdocked_000037,crossdocked_subset,True,,35.0,154.0,431.0,2.8357839584350586,0.0,0.0,0.0,0.0,5.0,3.0,5.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000038,complex_crossdocked_000038,crossdocked_subset,True,,34.0,150.0,393.0,2.7168445587158203,0.0,0.0,0.0,0.0,4.0,3.0,4.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000039,complex_crossdocked_000039,crossdocked_subset,True,,34.0,152.0,404.0,2.703791618347168,0.0,0.0,0.0,0.0,4.0,3.0,4.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000040,complex_crossdocked_000040,crossdocked_subset,True,,34.0,153.0,402.0,2.6956028938293457,0.0,0.0,0.0,0.0,4.0,3.0,4.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000041,complex_crossdocked_000041,crossdocked_subset,True,,35.0,153.0,431.0,2.871309757232666,0.0,0.0,0.0,0.0,5.0,3.0,5.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000042,complex_crossdocked_000042,crossdocked_subset,True,,35.0,151.0,395.0,2.7191476821899414,0.0,0.0,0.0,0.0,5.0,3.0,5.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000043,complex_crossdocked_000043,crossdocked_subset,True,,35.0,155.0,445.0,2.7897398471832275,0.0,0.0,0.0,0.0,5.0,3.0,5.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000044,complex_crossdocked_000044,crossdocked_subset,True,,35.0,153.0,404.0,2.7506325244903564,0.0,0.0,0.0,0.0,5.0,3.0,5.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000045,complex_crossdocked_000045,crossdocked_subset,True,,35.0,157.0,422.0,2.768866777420044,0.0,0.0,0.0,0.0,5.0,3.0,5.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000046,complex_crossdocked_000046,crossdocked_subset,True,,35.0,154.0,431.0,2.703356981277466,0.0,0.0,0.0,0.0,5.0,3.0,5.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000047,complex_crossdocked_000047,crossdocked_subset,True,,34.0,145.0,404.0,2.70440411567688,0.0,0.0,0.0,0.0,4.0,3.0,4.0,20.0,SMYD2_HUMAN_2_433_0,target_id
complex_crossdocked_000048,complex_crossdocked_000048,crossdocked_subset,True,,26.0,104.0,306.0,2.7345895767211914,0.0,0.0,0.0,0.0,7.0,3.0,7.0,13.0,HEPB_PEDHD_25_772_0,target_id
complex_crossdocked_000049,complex_crossdocked_000049,crossdocked_subset,True,,26.0,107.0,315.0,2.760145902633667,0.0,0.0,0.0,0.0,7.0,3.0,7.0,13.0,HEPB_PEDHD_25_772_0,target_id
complex_crossdocked_000050,complex_crossdocked_000050,crossdocked_subset,True,,35.0,116.0,357.0,2.7178566455841064,0.0,0.0,0.0,0.0,7.0,4.0,7.0,13.0,HEPB_PEDHD_25_772_0,target_id
complex_diffsbdd_5ndu,complex_diffsbdd_5ndu,diffsbdd_example,True,,49.0,188.0,530.0,2.5286591053009033,0.0,0.0,0.0,0.0,38.0,2.0,38.0,40.0,complex_diffsbdd_5ndu,complex_id
complex_diffsbdd_3rfm,complex_diffsbdd_3rfm,diffsbdd_example,False,ligand_heavy_atoms_out_of_range,,,,,,,,,,,,,,
